ACS,AGER,ASSOC,BASE,CON,DECK,DET,DIV,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,BEDR,COMP,FPLS,FULB,HAFB,SALE,STRT,WEIGHT,FUEL,FUEL2,FSLPR,FSQFS,LOTV,FFNSQ,AREA
1,2,2,01,2,1,1,1,2,2,1,2,02,00,3,1,2,1,2,2,05,00,2,1,4,2020-04-01,1,3,1,2020-06-01,2019-07-01,65,02,00,849000,3400,67427.29959364611,0,58700
1,1,1,03,1,1,1,1,0,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,2,2020-03-01,0,2,1,2020-03-01,2019-10-01,52,02,00,597000,2000,67427.29959364611,0,13385.771066731611
1,2,2,01,2,1,1,1,2,2,1,2,02,00,3,3,2,1,2,2,05,00,2,2,4,2020-03-01,1,2,1,2020-02-01,2019-09-01,39,02,00,663000,3300,120000,0,43600
1,2,2,01,2,2,1,1,2,2,1,2,02,00,2,3,1,2,2,2,05,00,2,1,4,2020-02-01,1,2,1,2020-04-01,2019-05-01,63,03,00,445000,2400,125000,0,52300
2,2,1,01,2,1,1,1,2,0,1,2,03,00,2,3,2,1,1,1,05,00,2,1,3,2020-11-01,0,2,0,2020-06-01,2020-06-01,59,02,00,280000,1300,70000,0,5000
1,2,1,01,2,1,2,1,2,0,1,2,02,00,3,3,0,1,1,2,05,00,2,1,4,2020-08-01,0,3,1,2020-08-01,2020-01-01,43,02,00,468000,2300,67427.29959364611,0,13385.771066731611
1,2,2,04,2,1,1,1,0,2,1,4,02,00,3,3,1,1,1,3,01,00,2,1,4,2021-03-01,1,3,1,2020-08-01,2020-07-01,71,02,00,1300000,3600,442000,0,5900
1,2,1,03,1,1,2,1,0,2,1,2,02,00,3,3,2,2,1,2,07,00,2,1,3,2020-01-01,0,2,1,2018-05-01,2018-06-01,173,02,00,700000,2400,67427.29959364611,0,13385.771066731611
2,2,1,01,2,2,2,1,2,0,1,2,03,00,2,3,2,1,1,1,05,00,2,1,2,2020-05-01,0,2,0,2019-11-01,2019-11-01,63,02,00,461000,2300,67427.29959364611,0,13385.771066731611
1,2,1,01,2,1,2,1,1,1,2,1,02,00,3,3,0,1,1,2,05,00,2,1,3,2020-10-01,0,3,1,2020-10-01,2020-01-01,43,02,00,544000,1800,67427.29959364611,400,13385.771066731611
1,2,1,01,1,1,2,1,2,2,1,2,02,00,3,3,2,2,1,2,05,00,2,1,2,2020-12-01,1,2,1,2020-07-01,2020-07-01,71,02,00,657000,1900,67427.29959364611,0,13385.771066731611
1,1,1,03,1,1,1,1,0,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,2,2020-02-01,0,2,1,2019-08-01,2019-07-01,52,03,00,633000,2000,67427.29959364611,0,13385.771066731611
2,2,2,01,2,1,1,1,2,2,1,1,04,00,2,3,2,2,2,2,01,00,2,2,3,2021-03-01,0,2,0,2021-02-01,2019-08-01,105,05,00,795000,1700,200000,0,87120
1,2,1,01,2,2,2,1,2,1,1,2,02,00,3,3,1,1,1,2,05,07,1,1,3,2020-07-01,1,2,1,2020-06-01,2019-09-01,52,02,00,639000,2800,67427.29959364611,0,13385.771066731611
1,2,1,01,1,1,2,1,2,2,1,2,02,00,2,3,2,1,2,2,05,00,2,1,3,2020-09-01,0,2,1,2020-05-01,2020-04-01,90,03,00,325000,1700,67427.29959364611,0,13385.771066731611
1,2,1,01,2,1,1,1,1,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,3,2021-01-01,1,2,1,2020-06-01,2020-06-01,40,02,00,660000,3300,67427.29959364611,600,7300
1,2,2,01,2,1,1,1,2,1,1,2,02,00,2,3,2,1,2,2,05,00,2,2,3,2020-01-01,1,3,0,2020-01-01,2019-09-01,78,03,00,495000,2400,140000,0,87120
1,2,0,01,2,1,1,1,2,2,1,2,02,00,0,3,0,0,0,2,05,00,0,1,3,2020-09-01,9,2,1,2020-09-01,2020-06-01,56,00,00,419000,1600,67427.29959364611,0,7500
1,2,2,01,2,1,1,1,1,2,1,2,02,00,3,3,1,1,1,2,05,00,2,1,4,2019-10-01,1,3,1,2020-04-01,2018-12-01,65,02,00,899000,4500,297000,220,21800
1,2,1,01,1,2,2,1,2,2,1,1,02,00,3,3,2,1,1,2,05,00,2,1,3,2020-10-01,0,2,1,2020-06-01,2020-03-01,181,02,00,399000,2000,67427.29959364611,0,13385.771066731611
2,2,2,01,2,1,1,1,2,1,1,2,02,00,2,3,2,1,1,2,05,00,2,1,3,2020-10-01,1,2,1,2020-12-01,2019-03-01,130,02,00,675000,2300,67427.29959364611,0,19000
1,1,1,03,1,1,1,1,0,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,2,2020-05-01,0,2,1,2019-09-01,2019-09-01,63,02,00,569000,2000,67427.29959364611,0,13385.771066731611
2,2,2,01,2,1,1,1,2,2,1,2,03,04,2,2,2,1,2,2,05,00,2,2,3,2020-01-01,1,2,1,2019-05-01,2019-06-01,32,03,03,560000,2200,67427.29959364611,0,43600
1,2,2,01,2,2,1,1,2,2,1,2,02,00,3,3,1,1,2,2,05,00,2,2,3,2020-05-01,1,2,1,2019-09-01,2019-11-01,63,03,00,470000,2100,85000,0,39400
1,2,1,01,1,1,1,1,2,2,1,2,02,00,3,3,2,1,1,2,05,00,2,1,3,2020-04-01,1,2,1,2020-08-01,2019-03-01,32,02,00,559000,2500,67427.29959364611,0,13385.771066731611
